"","x"
"1",0
"2",-10125.5598546839
"3",19259.9593618675
"4",-26509.0598546839
"5",31163.2688694433
"6",-32767
"7",31163.2688694433
"8",-26509.0598546838
"9",19259.9593618674
"10",-10125.5598546839
"11",-7.22724250779884e-11
"12",10125.5598546839
"13",-19259.9593618674
"14",26509.059854684
"15",-31163.2688694434
"16",32767
"17",-31163.2688694432
"18",26509.0598546838
"19",-19259.9593618674
"20",10125.5598546839
"21",1.44544850155977e-10
"22",-10125.5598546838
"23",19259.9593618675
"24",-26509.059854684
"25",31163.2688694433
"26",-32767
"27",31163.2688694432
"28",-26509.0598546837
"29",19259.959361867
"30",-10125.5598546841
"31",1.60062629925468e-11
"32",10125.559854684
"33",-19259.9593618677
"34",26509.0598546839
"35",-31163.2688694434
"36",32767
"37",-31163.2688694433
"38",26509.0598546838
"39",-19259.9593618675
"40",10125.5598546838
"41",2.89089700311954e-10
"42",-10125.5598546843
"43",19259.9593618672
"44",-26509.0598546838
"45",31163.2688694433
"46",-32767
"47",31163.2688694432
"48",-26509.0598546836
"49",19259.9593618676
"50",-10125.5598546839
"51",-1.2853858716343e-10
"52",10125.5598546842
"53",-19259.9593618678
"54",26509.0598546843
"55",-31163.2688694435
"56",32767
"57",-31163.2688694429
"58",26509.0598546837
"59",-19259.9593618678
"60",10125.5598546841
"61",-3.20125259850937e-11
"62",-10125.559854684
"63",19259.9593618677
"64",-26509.0598546842
"65",31163.2688694435
"66",-32767
"67",31163.2688694433
"68",-26509.0598546838
"69",19259.9593618671
"70",-10125.5598546834
"71",-7.38730513772431e-10
"72",10125.5598546839
"73",-19259.9593618676
"74",26509.0598546841
"75",-31163.2688694434
"76",32767
"77",-31163.2688694433
"78",26509.0598546833
"79",-19259.9593618673
"80",10125.5598546826
"81",5.78179400623907e-10
"82",-10125.5598546855
"83",19259.9593618682
"84",-26509.059854684
"85",31163.2688694431
"86",-32767
"87",31163.2688694434
"88",-26509.0598546834
"89",19259.9593618674
"90",-10125.5598546828
"91",-4.17628287475384e-10
"92",10125.5598546836
"93",-19259.9593618681
"94",26509.0598546839
"95",-31163.2688694436
"96",32767
"97",-31163.2688694434
"98",26509.0598546835
"99",-19259.9593618675
"100",10125.5598546829
"101",2.5707717432686e-10
"102",-10125.5598546834
"103",19259.959361868
"104",-26509.0598546838
"105",31163.2688694436
"106",-32767
"107",31163.2688694429
"108",-26509.0598546836
"109",19259.9593618662
"110",-10125.5598546831
"111",-1.95911436699043e-09
"112",10125.559854685
"113",-19259.9593618693
"114",26509.0598546848
"115",-31163.2688694435
"116",32767
"117",-31163.2688694435
"118",26509.0598546837
"119",-19259.9593618678
"120",10125.559854685
"121",-6.40250519701874e-11
"122",-10125.5598546831
"123",19259.9593618677
"124",-26509.0598546836
"125",31163.2688694435
"126",-32767
"127",31163.268869443
"128",-26509.0598546838
"129",19259.9593618664
"130",-10125.5598546834
"131",-1.63801214069339e-09
"132",10125.5598546847
"133",-19259.9593618676
"134",26509.0598546846
"135",-31163.2688694434
"136",32767
"137",-31163.2688694431
"138",26509.0598546828
"139",-19259.9593618665
"140",10125.5598546818
"141",1.47746102754486e-09
"142",-10125.5598546828
"143",19259.9593618674
"144",-26509.0598546834
"145",31163.2688694434
"146",-32767
"147",31163.2688694431
"148",-26509.059854684
"149",19259.9593618667
"150",-10125.5598546819
"151",-1.31690991439634e-09
"152",10125.5598546844
"153",-19259.9593618673
"154",26509.0598546833
"155",-31163.2688694439
"156",32767
"157",-31163.2688694431
"158",26509.0598546841
"159",-19259.9593618653
"160",10125.5598546821
"161",1.15635880124781e-09
"162",-10125.5598546843
"163",19259.9593618702
"164",-26509.0598546854
"165",31163.2688694439
"166",-32767
"167",31163.2688694432
"168",-26509.0598546842
"169",19259.9593618684
"170",-10125.5598546858
"171",-9.95807688099291e-10
"172",10125.5598546841
"173",-19259.959361867
"174",26509.0598546831
